Group;Viable;Total;No_Viable;Viability;Factor;Time
2;32;32;0;1;0,150943396;13
2;33;36;3;0,916666667;0,169811321;13
2;36;36;0;1;0,169811321;13
2;36;36;0;1;0,169811321;13
2;34;36;2;0,944444444;0,169811321;13
2;33;36;3;0,916666667;0,169811321;13
3;33;36;3;0,916666667;0,183673469;26
3;27;32;5;0,84375;0,163265306;26
3;32;32;0;1;0,163265306;26
3;24;28;4;0,857142857;0,142857143;26
3;31;32;1;0,96875;0,163265306;26
3;34;36;2;0,944444444;0,183673469;26
4;34;36;2;0,944444444;0,176470588;32
4;35;36;1;0,972222222;0,176470588;32
4;28;32;4;0,875;0,156862745;32
4;28;32;4;0,875;0,156862745;32
4;29;32;3;0,90625;0,156862745;32
4;29;36;7;0,805555556;0,173076923;32
5;24;28;4;0,857142857;0,152173913;62
5;25;32;7;0,78125;0,173913043;62
5;34;36;2;0,944444444;0,195652174;62
5;12;16;4;0,75;0,086956522;62
5;33;36;3;0,916666667;0,195652174;62
5;32;36;4;0,888888889;0,195652174;62